image,class,x,y,w,h
images/0abe872c-3a28-4c57-901b-291aa9f500d0.jpg,cpp,963,480,223,234
images/1257b89e-943e-4bc1-b274-ab4cfb60f156.jpg,avt,58,128,515,407
images/3471e58b-3a5b-45b7-a143-eaefed62487e.jpg,kruzhok,546,18,200,214
images/365aefb1-3e28-424a-96cb-cbd48dcf8404.jpg,avt,36,5,390,311
images/40ac19ae-0f36-4a1c-aa5c-ef9366516bc2.jpg,kruzhok,857,200,333,316
images/46a2d46c-0345-4c5a-a2d9-6a798e3d334c.jpg,avt,853,8,404,319
images/4f80f155-1558-441a-b7d5-c92d3feccced.jpg,avt,327,105,584,452
images/5c9f4c56-6f40-45ac-a9f3-c4759b94687c.jpg,python,863,35,293,301
images/6fcaa030-f2eb-41a4-beef-f2eea268db89.jpg,cpp,518,249,278,285
images/79874ddb-27f1-4d21-becc-b586078395b9.jpg,python,477,205,300,292
images/7c349b26-e253-4cce-afb5-24e8b7fb3c2e.jpg,kruzhok,62,168,435,446
images/7f3bc5a2-fc01-48af-a37b-4cf1b40d1274.jpg,python,675,33,543,556
images/80be2ba5-b4f4-44bf-97ce-b024f0cea79a.jpg,cpp,76,201,320,331
images/9e69fd86-76d1-47e7-9560-fd993da755df.jpg,python,139,410,258,268
images/a24392f8-7869-4eab-9b56-81d242a6af0b.jpg,altair,181,288,264,272
images/a9a3add3-69a4-4d18-8432-dd1c38a745d9.jpg,altair,52,214,313,304
images/b1d07547-67a2-45d9-80d6-91d0fcb1a0f9.jpg,altair,795,367,271,279
images/c0c26701-a894-4f1e-bb1d-9d6566f0e59d.jpg,kruzhok,74,215,301,283
images/c87b557a-1c9f-4141-9740-2aabd78775b1.jpg,cpp,797,118,446,475
images/d9e65bb9-5168-42a8-80f6-09c01b2f1571.jpg,altair,44,267,430,425